ear,mar,pitch_dev,label
0.2584,0.0156,0.0,AWAKE
0.2472,0.0,0.0,AWAKE
0.2514,0.0,0.0,AWAKE
0.2617,0.0,0.0,AWAKE
0.2592,0.0154,0.0,AWAKE
0.2623,0.0,0.0,AWAKE
0.2529,0.0,0.0,AWAKE
0.2565,0.0,0.0,AWAKE
0.2781,0.0154,0.0,AWAKE
0.2667,0.0156,0.0,AWAKE
0.2567,0.0,0.0,AWAKE
0.259,0.0154,0.0,AWAKE
0.2699,0.0,0.0,AWAKE
0.2517,0.0154,0.0,AWAKE
0.2646,0.0,0.0,AWAKE
0.2622,0.0,0.0,AWAKE
0.2645,0.0,0.0,AWAKE
0.2547,0.0,0.0,AWAKE
0.2379,0.0,0.0,AWAKE
0.2473,0.0,0.0,AWAKE
0.2494,0.0,0.0,AWAKE
0.2495,0.0154,0.0,AWAKE
0.2626,0.0,0.0,AWAKE
0.256,0.0,0.0,AWAKE
0.2597,0.0,0.0,AWAKE
0.2549,0.0152,0.0,AWAKE
0.2453,0.0,0.0,AWAKE
0.2473,0.0,0.0,AWAKE
0.2643,0.0,0.0,AWAKE
0.2543,0.0,0.0,AWAKE
0.2574,0.0,0.0,AWAKE
0.2493,0.0,0.0,AWAKE
0.2487,0.0154,0.0,AWAKE
0.2566,0.0152,0.0,AWAKE
0.2663,0.0152,0.0,AWAKE
0.2515,0.0154,0.0,AWAKE
0.2753,0.0,0.0,AWAKE
0.2553,0.0,0.0,AWAKE
0.2526,0.0,0.0,AWAKE
0.2505,0.0,0.0,AWAKE
0.259,0.0,0.0,AWAKE
0.2653,0.0,0.0,AWAKE
0.2643,0.0,0.0,AWAKE
0.2717,0.0,0.0,AWAKE
0.255,0.0154,0.0,AWAKE
0.2667,0.0154,0.0,AWAKE
0.2505,0.0154,0.0,AWAKE
0.2659,0.0154,0.0,AWAKE
0.2669,0.0154,0.0,AWAKE
0.2517,0.0,0.0,AWAKE
0.2537,0.0,0.0,AWAKE
0.2558,0.0,0.0,AWAKE
0.2468,0.0,0.0,AWAKE
0.2555,0.0,0.0,AWAKE
0.2474,0.0,0.0,AWAKE
0.2395,0.0,0.0,AWAKE
0.2425,0.0156,0.0,AWAKE
0.2625,0.0156,0.0,AWAKE
0.2558,0.0,0.0,AWAKE
0.2552,0.0,0.0,AWAKE
0.25,0.0635,0.0,AWAKE
0.256,0.0156,0.0,AWAKE
0.2475,0.0,0.0,AWAKE
0.2434,0.0,0.0,AWAKE
0.2607,0.0,0.0,AWAKE
0.2562,0.0,0.0,AWAKE
0.257,0.0,0.0,AWAKE
0.2518,0.0,0.0,AWAKE
0.2527,0.0,0.0,AWAKE
0.2467,0.0,0.0,AWAKE
0.2686,0.0151,0.0,AWAKE
0.2758,0.0,0.0,AWAKE
0.2783,0.0,0.0,AWAKE
0.275,0.0,0.0,AWAKE
0.272,0.0,0.0,AWAKE
0.2656,0.0218,0.0,AWAKE
0.2639,0.0,0.0,AWAKE
0.2703,0.0,0.0,AWAKE
0.2615,0.0,0.0,AWAKE
0.2777,0.0,0.0,AWAKE
0.2751,0.0149,0.0,AWAKE
0.2819,0.0,0.0,AWAKE
0.2676,0.0149,0.0,AWAKE
0.2775,0.0149,0.0,AWAKE
0.2752,0.0149,0.0,AWAKE
0.2779,0.0154,0.0,AWAKE
0.2848,0.0,0.0,AWAKE
0.278,0.0,0.0,AWAKE
0.276,0.0,0.0,AWAKE
0.2772,0.0,0.0,AWAKE
