timestamp,status,ear,mar,source,ml_confidence,snapshot_path
2026-07-30T11:48:26,HEAD_DROP,0.2316,0.0172,RULE,0.0,/Users/mac/Desktop/drowsiness_detector/logs/snapshots/HEAD_DROP_20260730_114826_225965.jpg
2026-07-30T11:48:27,HEAD_DROP,0.2744,0.0175,RULE,0.0,/Users/mac/Desktop/drowsiness_detector/logs/snapshots/HEAD_DROP_20260730_114827_227485.jpg
2026-07-30T11:48:27,AWAKE,0.2514,0.0,RULE,0.0,
2026-07-30T11:48:28,AWAKE,0.2052,0.0167,RULE,0.0,
2026-07-30T11:48:29,AWAKE,0.2335,0.0,RULE,0.0,
2026-07-30T11:48:30,AWAKE,0.2669,0.0152,RULE,0.0,
2026-07-30T11:48:31,AWAKE,0.2041,0.0,RULE,0.0,
2026-07-30T11:48:32,AWAKE,0.187,0.0211,RULE,0.0,
2026-07-30T11:48:33,AWAKE,0.1731,0.0145,RULE,0.0,
2026-07-30T11:48:34,EYE_WARNING,0.1261,0.0,RULE,0.0,
2026-07-30T11:48:35,HEAD_DROP,0.1084,0.0,RULE,0.0,/Users/mac/Desktop/drowsiness_detector/logs/snapshots/HEAD_DROP_20260730_114835_122909.jpg
2026-07-30T11:48:35,DROWSY_ALERT,0.0861,0.0,RULE,0.0,/Users/mac/Desktop/drowsiness_detector/logs/snapshots/DROWSY_ALERT_20260730_114835_725000.jpg
2026-07-30T11:48:36,AWAKE,0.2026,0.0,RULE,0.0,
2026-07-30T11:48:37,AWAKE,0.1103,0.0,RULE,0.0,
2026-07-30T11:48:37,HEAD_DROP,0.1152,0.0,RULE,0.0,/Users/mac/Desktop/drowsiness_detector/logs/snapshots/HEAD_DROP_20260730_114837_621180.jpg
2026-07-30T11:48:38,DROWSY_ALERT,0.1082,0.0,RULE,0.0,/Users/mac/Desktop/drowsiness_detector/logs/snapshots/DROWSY_ALERT_20260730_114838_453144.jpg
2026-07-30T11:48:39,DROWSY_ALERT,0.0986,0.0,RULE,0.0,/Users/mac/Desktop/drowsiness_detector/logs/snapshots/DROWSY_ALERT_20260730_114839_486414.jpg
